,Age,Gender,Education Level,Field,Years of Experience,Salary
2712,37.0,Male,Bachelor's,Research and Analysis,11.0,160000.0
2713,28.0,Male,Bachelor's,Software Development,4.0,75000.0
2714,41.0,Female,PhD,Management and Leadership,16.0,200000.0
2715,34.0,Male,Master's,Research and Analysis,8.0,100000.0
2716,24.0,Female,Bachelor's,Software Development,2.0,55000.0
2717,36.0,Male,PhD,Research and Analysis,12.0,170000.0
2718,30.0,Female,Bachelor's,Software Development,5.0,90000.0
2719,29.0,Male,Bachelor's,Software Development,4.0,80000.0
2720,42.0,Male,Master's,Operations and Project Management,14.0,180000.0
2721,26.0,Male,Bachelor's,Software Development,2.0,60000.0
2722,35.0,Female,Master's,Research and Analysis,9.0,120000.0
2723,27.0,Female,Bachelor's,Software Development,3.0,70000.0
2724,48.0,Male,PhD,Management and Leadership,18.0,210000.0
2725,34.0,Male,Master's,Research and Analysis,9.0,140000.0
2726,23.0,Female,Bachelor's,Software Development,1.0,50000.0
2727,32.0,Male,Master's,Operations and Project Management,7.0,110000.0
2728,25.0,Female,Master's,Software Development,2.0,60000.0
2729,37.0,Male,Bachelor's,Research and Analysis,11.0,160000.0
2730,28.0,Male,Bachelor's,Software Development,4.0,75000.0
2731,41.0,Female,PhD,Management and Leadership,16.0,200000.0
2732,34.0,Male,Master's,Research and Analysis,8.0,100000.0
2733,24.0,Female,Bachelor's,Software Development,2.0,55000.0
2734,36.0,Male,PhD,Research and Analysis,12.0,170000.0
2735,30.0,Female,Bachelor's,Software Development,5.0,90000.0
2736,29.0,Male,Bachelor's,Software Development,4.0,80000.0
2737,42.0,Male,Master's,Operations and Project Management,14.0,180000.0
2738,26.0,Male,Bachelor's,Software Development,2.0,60000.0
2739,35.0,Female,Master's,Research and Analysis,9.0,120000.0
2740,27.0,Female,Bachelor's,Software Development,3.0,70000.0
2741,48.0,Male,PhD,Management and Leadership,18.0,210000.0
2742,34.0,Male,Master's,Research and Analysis,9.0,140000.0
2743,23.0,Female,Bachelor's,Software Development,1.0,50000.0
2744,32.0,Male,Master's,Operations and Project Management,7.0,110000.0
2745,25.0,Female,Master's,Software Development,2.0,60000.0
2746,37.0,Male,Bachelor's,Research and Analysis,11.0,160000.0
2747,28.0,Male,Bachelor's,Software Development,4.0,75000.0
2748,41.0,Female,PhD,Management and Leadership,16.0,200000.0
2749,34.0,Male,Master's,Research and Analysis,8.0,100000.0
2750,24.0,Female,Bachelor's,Software Development,2.0,55000.0
2751,36.0,Male,PhD,Research and Analysis,12.0,170000.0
2752,30.0,Female,Bachelor's,Software Development,5.0,90000.0
2753,29.0,Male,Bachelor's,Software Development,4.0,80000.0
2754,42.0,Male,Master's,Operations and Project Management,14.0,180000.0
2755,26.0,Male,Bachelor's,Software Development,2.0,60000.0
2756,35.0,Female,Master's,Research and Analysis,9.0,120000.0
2757,27.0,Female,Bachelor's,Software Development,3.0,70000.0
2758,48.0,Male,PhD,Management and Leadership,18.0,210000.0
2759,34.0,Male,Master's,Research and Analysis,9.0,140000.0
2760,23.0,Female,Bachelor's,Software Development,1.0,50000.0
2761,32.0,Male,Master's,Operations and Project Management,7.0,110000.0
2762,25.0,Female,Master's,Software Development,2.0,60000.0
2763,37.0,Male,Bachelor's,Research and Analysis,11.0,160000.0
2764,28.0,Male,Bachelor's,Software Development,4.0,75000.0
2765,41.0,Female,PhD,Management and Leadership,16.0,200000.0
2766,34.0,Male,Master's,Research and Analysis,8.0,100000.0
2767,24.0,Female,Bachelor's,Software Development,2.0,55000.0
2768,36.0,Male,PhD,Research and Analysis,12.0,170000.0
2769,30.0,Female,Bachelor's,Software Development,5.0,90000.0
2770,29.0,Male,Bachelor's,Software Development,4.0,80000.0
2771,42.0,Male,Master's,Operations and Project Management,14.0,180000.0
2772,26.0,Male,Bachelor's,Software Development,2.0,60000.0
2773,35.0,Female,Master's,Research and Analysis,9.0,120000.0
2774,27.0,Female,Bachelor's,Software Development,3.0,70000.0
2775,48.0,Male,PhD,Management and Leadership,18.0,210000.0
2776,29.0,Female,Bachelor's,Software Development,6.0,103579.0
2777,45.0,Male,Master's,Software Development,19.0,163780.0
2778,36.0,Male,Bachelor's,Software Development,12.0,137878.0
2779,30.0,Female,Master's,Operations and Project Management,4.0,92438.0
2780,28.0,Male,Master's,Software Development,5.0,84181.0
2781,46.0,Female,PhD,Software Development,21.0,174821.0
2782,34.0,Male,Bachelor's,Software Development,10.0,126520.0
2783,44.0,Male,Master's,Software Development,18.0,152168.0
2784,55.0,Female,PhD,Software Development,29.0,190543.0
2785,35.0,Male,Master's,Software Development,9.0,131547.0
2786,54.0,Male,Bachelor's,Operations and Project Management,28.0,192292.0
2787,23.0,Female,High School,Software Development,1.0,52807.0
2788,46.0,Male,Master's,Software Development,20.0,174938.0
2789,33.0,Female,Bachelor's,Software Development,8.0,124071.0
2790,26.0,Male,Master's,Software Development,3.0,73640.0
2791,43.0,Female,PhD,Software Development,19.0,156486.0
2792,36.0,Male,Master's,Software Development,11.0,138859.0
2793,23.0,Female,Bachelor's,Operations and Project Management,0.0,52831.0
2794,49.0,Male,Master's,Software Development,23.0,182392.0
2795,35.0,Female,Master's,Software Development,11.0,151078.0
2796,31.0,Male,Bachelor's,Software Development,8.0,100679.0
2797,54.0,Other,High School,Software Development,29.0,158966.0
2798,43.0,Male,Master's,Software Development,20.0,167924.0
2799,33.0,Female,Master's,Operations and Project Management,10.0,113334.0
2800,52.0,Female,PhD,Software Development,29.0,194778.0
2801,28.0,Male,Bachelor's,Software Development,4.0,77606.0
2802,36.0,Female,Master's,Software Development,13.0,140010.0
2803,43.0,Male,Bachelor's,Operations and Project Management,20.0,142421.0
2804,50.0,Female,Master's,Software Development,24.0,192756.0
2805,24.0,Male,PhD,Software Development,1.0,106686.0
2806,52.0,Male,Master's,Software Development,27.0,186794.0
2807,46.0,Female,Bachelor's,Software Development,19.0,150729.0
2808,38.0,Male,Master's,Software Development,15.0,171652.0
2809,29.0,Male,Bachelor's,Operations and Project Management,6.0,88552.0
2810,33.0,Female,Master's,Software Development,9.0,119918.0
2811,47.0,Male,PhD,Software Development,21.0,174985.0
2812,45.0,Female,Master's,Software Development,23.0,174336.0
2813,28.0,Male,Bachelor's,Software Development,4.0,72389.0
2814,42.0,Female,Master's,Software Development,14.0,163978.0
2815,46.0,Male,Bachelor's,Operations and Project Management,25.0,166958.0
2816,38.0,Female,PhD,Software Development,15.0,145052.0
2817,54.0,Male,Master's,Software Development,32.0,195270.0
2818,33.0,Female,Master's,Software Development,8.0,122970.0
2819,27.0,Male,High School,Software Development,4.0,80247.0
2820,50.0,Female,Bachelor's,Operations and Project Management,25.0,177862.0
2821,26.0,Male,Master's,Software Development,4.0,91062.0
2822,31.0,Female,Master's,Software Development,6.0,114290.0
2823,35.0,Male,Bachelor's,Software Development,10.0,128999.0
2824,44.0,Female,PhD,Software Development,18.0,162454.0
2825,32.0,Male,Master's,Operations and Project Management,8.0,122354.0
2826,54.0,Male,Bachelor's,Software Development,25.0,179756.0
2827,26.0,Female,Master's,Software Development,3.0,73218.0
2828,23.0,Male,PhD,Software Development,0.0,52612.0
2829,48.0,Female,Master's,Software Development,24.0,184480.0
2830,38.0,Male,Bachelor's,Software Development,12.0,132442.0
2831,30.0,Female,Master's,Software Development,5.0,102828.0
2832,40.0,Male,Master's,Software Development,16.0,150301.0
2833,45.0,Female,Bachelor's,Operations and Project Management,22.0,171468.0
2834,36.0,Male,Master's,Software Development,13.0,147326.0
2835,52.0,Male,PhD,Software Development,26.0,185982.0
2836,31.0,Female,Bachelor's,Software Development,7.0,108267.0
2837,26.0,Male,Master's,Software Development,4.0,91397.0
2838,30.0,Female,Master's,Operations and Project Management,5.0,100867.0
2839,24.0,Male,Bachelor's,Software Development,2.0,64182.0
2840,45.0,Male,Master's,Software Development,22.0,182506.0
2841,33.0,Female,Master's,Software Development,9.0,136986.0
2842,38.0,Male,Bachelor's,Software Development,11.0,136662.0
2843,54.0,Female,PhD,Software Development,32.0,191510.0
2844,42.0,Male,Master's,Software Development,19.0,177347.0
2845,28.0,Female,Bachelor's,Operations and Project Management,3.0,70397.0
2846,34.0,Male,Master's,Software Development,9.0,146075.0
2847,46.0,Female,Bachelor's,Software Development,18.0,155795.0
2848,35.0,Male,Master's,Software Development,9.0,132638.0
2849,49.0,Female,PhD,Software Development,22.0,178684.0
2850,32.0,Male,Bachelor's,Software Development,7.0,106218.0
2851,54.0,Male,Master's,Software Development,28.0,191239.0
2852,26.0,Female,Master's,Software Development,2.0,65840.0
2853,23.0,Male,PhD,Software Development,0.0,52779.0
2854,48.0,Female,Master's,Software Development,23.0,185038.0
2855,38.0,Male,Bachelor's,Software Development,14.0,136449.0
2856,30.0,Female,Master's,Software Development,6.0,110707.0
2857,40.0,Male,Master's,Software Development,17.0,151670.0
2858,45.0,Female,Bachelor's,Operations and Project Management,21.0,167015.0
2859,36.0,Male,Master's,Software Development,13.0,146508.0
2860,52.0,Male,PhD,Software Development,27.0,190596.0
2861,31.0,Female,Bachelor's,Software Development,6.0,104378.0
2862,26.0,Male,Master's,Software Development,3.0,70216.0
2863,30.0,Female,Master's,Operations and Project Management,5.0,101733.0
2864,24.0,Male,Bachelor's,Software Development,1.0,55935.0
2865,45.0,Male,Master's,Software Development,21.0,180367.0
2866,33.0,Female,Master's,Software Development,9.0,135596.0
2867,38.0,Male,Bachelor's,Software Development,11.0,136062.0
2868,54.0,Female,PhD,Software Development,32.0,191267.0
2869,42.0,Male,Master's,Software Development,19.0,177347.0
2870,28.0,Female,Bachelor's,Operations and Project Management,3.0,70397.0
2871,34.0,Male,Master's,Software Development,9.0,146075.0
2872,46.0,Female,Bachelor's,Software Development,18.0,155795.0
2873,35.0,Male,Master's,Software Development,9.0,132638.0
2874,49.0,Female,PhD,Software Development,22.0,178684.0
2875,32.0,Male,Bachelor's,Software Development,7.0,106218.0
2876,54.0,Male,Master's,Software Development,28.0,191239.0
2877,26.0,Female,Master's,Software Development,2.0,65840.0
2878,23.0,Male,PhD,Software Development,0.0,52779.0
2879,48.0,Female,Master's,Software Development,23.0,185038.0
2880,38.0,Male,Bachelor's,Software Development,14.0,136449.0
2881,30.0,Female,Master's,Software Development,6.0,110707.0
2882,40.0,Male,Master's,Software Development,17.0,151670.0
2883,45.0,Female,Bachelor's,Operations and Project Management,21.0,167015.0
2884,36.0,Male,Master's,Software Development,13.0,146508.0
2885,52.0,Male,PhD,Software Development,27.0,190596.0
2886,31.0,Female,Bachelor's,Software Development,6.0,104378.0
2887,26.0,Male,Master's,Software Development,3.0,70216.0
2888,30.0,Female,Master's,Operations and Project Management,5.0,101733.0
2889,24.0,Male,Bachelor's,Software Development,1.0,55935.0
2890,45.0,Male,Master's,Software Development,21.0,180367.0
2891,33.0,Female,Master's,Software Development,9.0,135596.0
2892,38.0,Male,Bachelor's,Software Development,11.0,136062.0
2893,54.0,Female,PhD,Software Development,32.0,191267.0
2894,42.0,Male,Master's,Software Development,19.0,177347.0
2895,29.0,Female,Bachelor's,Software Development,6.0,103579.0
2896,45.0,Male,Master's,Software Development,19.0,163780.0
2897,36.0,Male,Bachelor's,Software Development,12.0,137878.0
2898,30.0,Female,Master's,Operations and Project Management,4.0,92438.0
2899,28.0,Male,Master's,Software Development,5.0,84181.0
2900,46.0,Female,PhD,Software Development,21.0,174821.0
2901,34.0,Male,Bachelor's,Software Development,10.0,126520.0
2902,44.0,Male,Master's,Software Development,18.0,152168.0
2903,55.0,Female,PhD,Software Development,29.0,190543.0
2904,35.0,Male,Master's,Software Development,9.0,131547.0
2905,54.0,Male,Bachelor's,Operations and Project Management,28.0,192292.0
2906,23.0,Female,High School,Software Development,1.0,52807.0
2907,46.0,Male,Master's,Software Development,20.0,174938.0
2908,33.0,Female,Bachelor's,Software Development,8.0,124071.0
2909,26.0,Male,Master's,Software Development,3.0,73640.0
2910,43.0,Female,PhD,Software Development,19.0,156486.0
2911,36.0,Male,Master's,Software Development,11.0,138859.0
2912,23.0,Female,Bachelor's,Operations and Project Management,0.0,52831.0
2913,49.0,Male,Master's,Software Development,23.0,182392.0
2914,35.0,Female,Master's,Software Development,11.0,151078.0
2915,31.0,Male,Bachelor's,Software Development,8.0,100679.0
2916,54.0,Other,High School,Software Development,29.0,158966.0
2917,43.0,Male,Master's,Software Development,20.0,167924.0
2918,33.0,Female,Master's,Operations and Project Management,10.0,113334.0
2919,52.0,Female,PhD,Software Development,29.0,194778.0
2920,28.0,Male,Bachelor's,Software Development,4.0,77606.0
2921,36.0,Female,Master's,Software Development,13.0,140010.0
2922,43.0,Male,Bachelor's,Operations and Project Management,20.0,142421.0
2923,50.0,Female,Master's,Software Development,24.0,192756.0
2924,24.0,Male,PhD,Software Development,1.0,106686.0
2925,52.0,Male,Master's,Software Development,27.0,186794.0
2926,46.0,Female,Bachelor's,Software Development,19.0,150729.0
2927,38.0,Male,Master's,Software Development,15.0,171652.0
2928,29.0,Male,Bachelor's,Operations and Project Management,6.0,88552.0
2929,33.0,Female,Master's,Software Development,9.0,119918.0
2930,47.0,Male,PhD,Software Development,21.0,174985.0
2931,45.0,Female,Master's,Software Development,23.0,174336.0
2932,28.0,Male,Bachelor's,Software Development,4.0,72389.0
2933,42.0,Female,Master's,Software Development,14.0,163978.0
2934,46.0,Male,Bachelor's,Operations and Project Management,25.0,166958.0
2935,38.0,Female,PhD,Software Development,15.0,145052.0
2936,54.0,Male,Master's,Software Development,32.0,195270.0
2937,33.0,Female,Master's,Software Development,8.0,122970.0
2938,27.0,Male,High School,Software Development,4.0,80247.0
2939,50.0,Female,Bachelor's,Operations and Project Management,25.0,177862.0
2940,26.0,Male,Master's,Software Development,4.0,91062.0
2941,31.0,Female,Master's,Software Development,6.0,114290.0
2942,35.0,Male,Bachelor's,Software Development,10.0,128999.0
2943,44.0,Female,PhD,Software Development,18.0,162454.0
2944,32.0,Male,Master's,Operations and Project Management,8.0,122354.0
2945,54.0,Male,Bachelor's,Software Development,25.0,179756.0
2946,26.0,Female,Master's,Software Development,3.0,73218.0
2947,23.0,Male,PhD,Software Development,0.0,52612.0
2948,48.0,Female,Master's,Software Development,24.0,184480.0
2949,38.0,Male,Bachelor's,Software Development,12.0,132442.0
2950,30.0,Female,Master's,Software Development,5.0,102828.0
2951,40.0,Male,Master's,Software Development,16.0,150301.0
2952,45.0,Female,Bachelor's,Operations and Project Management,22.0,171468.0
2953,36.0,Male,Master's,Software Development,13.0,147326.0
2954,52.0,Male,PhD,Software Development,26.0,185982.0
2955,31.0,Female,Bachelor's,Software Development,7.0,108267.0
2956,26.0,Male,Master's,Software Development,4.0,91397.0
2957,30.0,Female,Master's,Operations and Project Management,5.0,100867.0
2958,24.0,Male,Bachelor's,Software Development,2.0,64182.0
2959,45.0,Male,Master's,Software Development,22.0,182506.0
2960,33.0,Female,Master's,Software Development,9.0,136986.0
2961,38.0,Male,Bachelor's,Software Development,11.0,136662.0
2962,54.0,Female,PhD,Software Development,32.0,191510.0
2963,42.0,Male,Master's,Software Development,19.0,177347.0
2964,28.0,Female,Bachelor's,Operations and Project Management,3.0,70397.0
2965,34.0,Male,Master's,Software Development,9.0,146075.0
2966,46.0,Female,Bachelor's,Software Development,18.0,155795.0
2967,35.0,Male,Master's,Software Development,9.0,132638.0
2968,49.0,Female,PhD,Software Development,22.0,178684.0
2969,32.0,Male,Bachelor's,Software Development,7.0,106218.0
2970,54.0,Male,Master's,Software Development,28.0,191239.0
2971,26.0,Female,Master's,Software Development,2.0,65840.0
2972,23.0,Male,PhD,Software Development,0.0,52779.0
2973,48.0,Female,Master's,Software Development,23.0,185038.0
2974,38.0,Male,Bachelor's,Software Development,14.0,136449.0
2975,30.0,Female,Master's,Software Development,6.0,110707.0
2976,40.0,Male,Master's,Software Development,17.0,151670.0
2977,45.0,Female,Bachelor's,Operations and Project Management,21.0,167015.0
2978,36.0,Male,Master's,Software Development,13.0,146508.0
2979,52.0,Male,PhD,Software Development,27.0,190596.0
2980,31.0,Female,Bachelor's,Software Development,6.0,104378.0
2981,26.0,Male,Master's,Software Development,3.0,70216.0
2982,30.0,Female,Master's,Operations and Project Management,5.0,101733.0
2983,24.0,Male,Bachelor's,Software Development,1.0,55935.0
2984,45.0,Male,Master's,Software Development,21.0,180367.0
2985,33.0,Female,Master's,Software Development,9.0,135596.0
2986,38.0,Male,Bachelor's,Software Development,11.0,136062.0
2987,54.0,Female,PhD,Software Development,32.0,191267.0
2988,42.0,Male,Master's,Software Development,19.0,177347.0
2989,28.0,Female,Bachelor's,Operations and Project Management,3.0,70397.0
2990,34.0,Male,Master's,Software Development,9.0,146075.0
2991,46.0,Female,Bachelor's,Software Development,18.0,155795.0
2992,35.0,Male,Master's,Software Development,9.0,132638.0
2993,49.0,Female,PhD,Software Development,22.0,178684.0
2994,32.0,Male,Bachelor's,Software Development,7.0,106218.0
2995,54.0,Male,Master's,Software Development,28.0,191239.0
2996,26.0,Female,Master's,Software Development,2.0,65840.0
2997,23.0,Male,PhD,Software Development,0.0,52779.0
2998,48.0,Female,Master's,Software Development,23.0,185038.0
2999,38.0,Male,Bachelor's,Software Development,14.0,136449.0
3000,30.0,Female,Master's,Software Development,6.0,110707.0
3001,40.0,Male,Master's,Software Development,17.0,151670.0
3002,45.0,Female,Bachelor's,Operations and Project Management,21.0,167015.0
3003,36.0,Male,Master's,Software Development,13.0,146508.0
3004,52.0,Male,PhD,Software Development,27.0,190596.0
3005,31.0,Female,Bachelor's,Software Development,6.0,104378.0
3006,26.0,Male,Master's,Software Development,3.0,70216.0
3007,30.0,Female,Master's,Operations and Project Management,5.0,101733.0
3008,24.0,Male,Bachelor's,Software Development,1.0,55935.0
3009,45.0,Male,Master's,Software Development,21.0,180367.0
3010,33.0,Female,Master's,Software Development,9.0,135596.0
3011,38.0,Male,Bachelor's,Software Development,11.0,136062.0
3012,54.0,Female,PhD,Software Development,32.0,191267.0
3013,42.0,Male,Master's,Software Development,19.0,177347.0
3014,29.0,Female,Bachelor's,Software Development,6.0,103579.0
3015,45.0,Male,Master's,Software Development,19.0,163780.0
3016,36.0,Male,Bachelor's,Software Development,12.0,137878.0
3017,30.0,Female,Master's,Operations and Project Management,4.0,92438.0
3018,28.0,Male,Master's,Software Development,5.0,84181.0
3019,46.0,Female,PhD,Software Development,21.0,174821.0
3020,34.0,Male,Bachelor's,Software Development,10.0,126520.0
3021,44.0,Male,Master's,Software Development,18.0,152168.0
3022,55.0,Female,PhD,Software Development,29.0,190543.0
3023,35.0,Male,Master's,Software Development,9.0,131547.0
3024,54.0,Male,Bachelor's,Operations and Project Management,28.0,192292.0
3025,23.0,Female,High School,Software Development,1.0,52807.0
3026,46.0,Male,Master's,Software Development,20.0,174938.0
3027,33.0,Female,Bachelor's,Software Development,8.0,124071.0
3028,26.0,Male,Master's,Software Development,3.0,73640.0
3029,43.0,Female,PhD,Software Development,19.0,156486.0
3030,36.0,Male,Master's,Software Development,11.0,138859.0
3031,23.0,Female,Bachelor's,Operations and Project Management,0.0,52831.0
3032,49.0,Male,Master's,Software Development,23.0,182392.0
3033,35.0,Female,Master's,Software Development,11.0,151078.0
3034,31.0,Male,Bachelor's,Software Development,8.0,100679.0
3035,54.0,Other,High School,Software Development,29.0,158966.0
3036,43.0,Male,Master's,Software Development,20.0,167924.0
3037,33.0,Female,Master's,Operations and Project Management,10.0,113334.0
3038,52.0,Female,PhD,Software Development,29.0,194778.0
3039,28.0,Male,Bachelor's,Software Development,4.0,77606.0
3040,36.0,Female,Master's,Software Development,13.0,140010.0
3041,43.0,Male,Bachelor's,Operations and Project Management,20.0,142421.0
3042,50.0,Female,Master's,Software Development,24.0,192756.0
3043,24.0,Male,PhD,Software Development,1.0,106686.0
3044,52.0,Male,Master's,Software Development,27.0,186794.0
3045,46.0,Female,Bachelor's,Software Development,19.0,150729.0
3046,38.0,Male,Master's,Software Development,15.0,171652.0
3047,29.0,Male,Bachelor's,Operations and Project Management,6.0,88552.0
3048,33.0,Female,Master's,Software Development,9.0,119918.0
3049,47.0,Male,PhD,Software Development,21.0,174985.0
3050,45.0,Female,Master's,Software Development,23.0,174336.0
3051,28.0,Male,Bachelor's,Software Development,4.0,72389.0
3052,42.0,Female,Master's,Software Development,14.0,163978.0
3053,46.0,Male,Bachelor's,Operations and Project Management,25.0,166958.0
3054,38.0,Female,PhD,Software Development,15.0,145052.0
3055,54.0,Male,Master's,Software Development,32.0,195270.0
3056,33.0,Female,Master's,Software Development,8.0,122970.0
3057,27.0,Male,High School,Software Development,4.0,80247.0
3058,50.0,Female,Bachelor's,Operations and Project Management,25.0,177862.0
3059,26.0,Male,Master's,Software Development,4.0,91062.0
3060,31.0,Female,Master's,Software Development,6.0,114290.0
3061,35.0,Male,Bachelor's,Software Development,10.0,128999.0
3062,44.0,Female,PhD,Software Development,18.0,162454.0
3063,32.0,Male,Master's,Operations and Project Management,8.0,122354.0
3064,54.0,Male,Bachelor's,Software Development,25.0,179756.0
3065,26.0,Female,Master's,Software Development,3.0,73218.0
3066,23.0,Male,PhD,Software Development,0.0,52612.0
3067,48.0,Female,Master's,Software Development,23.0,185038.0
3068,38.0,Male,Bachelor's,Software Development,12.0,132442.0
3069,30.0,Female,Master's,Software Development,5.0,102828.0
3070,40.0,Male,Master's,Software Development,16.0,150301.0
3071,45.0,Female,Bachelor's,Operations and Project Management,22.0,171468.0
3072,36.0,Male,Master's,Software Development,13.0,147326.0
3073,52.0,Male,PhD,Software Development,26.0,185982.0
3074,31.0,Female,Bachelor's,Software Development,7.0,108267.0
3075,26.0,Male,Master's,Software Development,3.0,91397.0
3076,30.0,Female,Master's,Operations and Project Management,5.0,100867.0
3077,24.0,Male,Bachelor's,Software Development,2.0,64182.0
3078,45.0,Male,Master's,Software Development,22.0,182506.0
3079,33.0,Female,Master's,Software Development,9.0,136986.0
3080,38.0,Male,Bachelor's,Software Development,11.0,136662.0
3081,54.0,Female,PhD,Software Development,32.0,191510.0
3082,42.0,Male,Master's,Software Development,19.0,177347.0
3083,28.0,Female,Bachelor's,Operations and Project Management,4.0,82944.0
3084,48.0,Male,PhD,Software Development,23.0,188288.0
3085,36.0,Female,Master's,Software Development,14.0,141090.0
3086,43.0,Male,Bachelor's,Software Development,19.0,152726.0
3087,33.0,Female,Master's,Software Development,9.0,124141.0
3088,26.0,Male,Bachelor's,Software Development,3.0,67556.0
3089,50.0,Female,Master's,Operations and Project Management,22.0,182768.0
3090,41.0,Male,PhD,Software Development,15.0,148727.0
3091,29.0,Female,Bachelor's,Software Development,6.0,91903.0
3092,38.0,Male,Master's,Software Development,14.0,147708.0
3093,48.0,Female,Bachelor's,Operations and Project Management,21.0,163209.0
3094,31.0,Male,Master's,Software Development,8.0,120288.0
3095,45.0,Male,PhD,Software Development,21.0,170226.0
3096,35.0,Female,Master's,Software Development,11.0,134979.0
3097,42.0,Male,Bachelor's,Software Development,16.0,137489.0
3098,27.0,Female,Master's,Software Development,4.0,83577.0
3099,33.0,Male,Bachelor's,Software Development,9.0,117904.0
3100,36.0,Female,Master's,Operations and Project Management,11.0,134482.0
3101,54.0,Male,PhD,Software Development,30.0,184660.0
3102,30.0,Female,Bachelor's,Software Development,5.0,100151.0
3103,26.0,Male,Master's,Software Development,3.0,88678.0
3104,45.0,Female,PhD,Operations and Project Management,21.0,181285.0
3105,38.0,Male,Master's,Software Development,16.0,154990.0
3106,31.0,Female,Bachelor's,Software Development,7.0,108204.0
3107,42.0,Male,Master's,Software Development,19.0,175684.0
3108,28.0,Female,Bachelor's,Software Development,5.0,77766.0
3109,48.0,Male,PhD,Software Development,24.0,192211.0
3110,36.0,Female,Master's,Software Development,13.0,144647.0
3111,43.0,Male,Bachelor's,Operations and Project Management,20.0,162231.0
3112,33.0,Female,Master's,Software Development,9.0,121120.0
3113,26.0,Male,Bachelor's,Software Development,4.0,79652.0
3114,50.0,Female,Master's,Software Development,21.0,177002.0
3115,27.0,Male,Master's,Software Development,5.0,87584.0
3116,38.0,Female,Bachelor's,Operations and Project Management,13.0,131860.0
3117,54.0,Male,PhD,Software Development,28.0,182013.0
3118,31.0,Female,Master's,Software Development,7.0,108799.0
3119,36.0,Male,Bachelor's,Software Development,13.0,135378.0
3120,45.0,Female,Master's,Software Development,22.0,183530.0
3121,42.0,Male,Bachelor's,Software Development,18.0,150901.0
3122,28.0,Female,Master's,Software Development,4.0,82697.0
3123,48.0,Male,PhD,Software Development,26.0,194638.0
3124,36.0,Female,Master's,Operations and Project Management,12.0,130356.0
3125,43.0,Male,Bachelor's,Software Development,18.0,152560.0
3126,33.0,Female,Master's,Software Development,9.0,121432.0
3127,26.0,Male,Bachelor's,Software Development,2.0,63789.0
3128,50.0,Female,Master's,Software Development,23.0,183690.0
3129,41.0,Male,PhD,Software Development,16.0,151310.0
3130,29.0,Female,Bachelor's,Software Development,6.0,100358.0
3131,38.0,Male,Master's,Software Development,15.0,148437.0
3132,48.0,Female,Bachelor's,Operations and Project Management,22.0,168691.0
3133,28.0,Male,Bachelor's,Software Development,1.0,50000.0
3134,32.0,Female,Master's,Operations and Project Management,5.0,100000.0
3135,26.0,Male,Bachelor's,Software Development,2.0,60000.0
3136,33.0,Female,Master's,Research and Analysis,6.0,90000.0
3137,29.0,Male,Bachelor's,Software Development,3.0,70000.0
3138,42.0,Male,PhD,Management and Leadership,12.0,170000.0
3139,36.0,Female,Master's,Research and Analysis,8.0,130000.0
3140,27.0,Male,Bachelor's,Software Development,1.0,50000.0
3141,34.0,Female,Master's,Operations and Project Management,7.0,120000.0
3142,29.0,Male,Bachelor's,Software Development,4.0,80000.0
3143,41.0,Female,PhD,Research and Analysis,16.0,200000.0
3144,34.0,Male,Master's,Research and Analysis,8.0,100000.0
3145,24.0,Female,Bachelor's,Software Development,2.0,55000.0
3146,36.0,Male,PhD,Management and Leadership,12.0,170000.0
3147,30.0,Female,Bachelor's,Software Development,5.0,90000.0
3148,29.0,Male,Bachelor's,Software Development,4.0,80000.0
3149,42.0,Male,Master's,Operations and Project Management,14.0,180000.0
3150,26.0,Male,Bachelor's,Software Development,2.0,60000.0
3151,35.0,Female,Master's,Research and Analysis,9.0,120000.0
3152,27.0,Female,Bachelor's,Software Development,3.0,70000.0
3153,48.0,Male,PhD,Management and Leadership,18.0,210000.0
3154,34.0,Male,Master's,Research and Analysis,9.0,140000.0
3155,23.0,Female,Bachelor's,Software Development,1.0,50000.0
3156,32.0,Male,Master's,Operations and Project Management,7.0,110000.0
3157,25.0,Female,Master's,Software Development,2.0,60000.0
3158,37.0,Male,Bachelor's,Research and Analysis,11.0,160000.0
3159,28.0,Male,Bachelor's,Software Development,4.0,75000.0
3160,41.0,Female,PhD,Management and Leadership,16.0,200000.0
3161,34.0,Male,Master's,Research and Analysis,8.0,100000.0
3162,24.0,Female,Bachelor's,Software Development,2.0,55000.0
3163,36.0,Male,PhD,Research and Analysis,12.0,170000.0
3164,30.0,Female,Bachelor's,Software Development,5.0,90000.0
3165,29.0,Male,Bachelor's,Software Development,4.0,80000.0
3166,42.0,Male,Master's,Operations and Project Management,14.0,180000.0
3167,26.0,Male,Bachelor's,Software Development,2.0,60000.0
3168,35.0,Female,Master's,Research and Analysis,9.0,120000.0
3169,27.0,Female,Bachelor's,Software Development,3.0,70000.0
3170,48.0,Male,PhD,Management and Leadership,18.0,210000.0
3171,34.0,Male,Master's,Research and Analysis,9.0,140000.0
3172,23.0,Female,Bachelor's,Software Development,1.0,50000.0
3173,32.0,Male,Master's,Operations and Project Management,7.0,110000.0
3174,25.0,Female,Master's,Software Development,2.0,60000.0
3175,37.0,Male,Bachelor's,Research and Analysis,11.0,160000.0
3176,28.0,Male,Bachelor's,Software Development,4.0,75000.0
3177,41.0,Female,PhD,Management and Leadership,16.0,200000.0
3178,34.0,Male,Master's,Research and Analysis,8.0,100000.0
